Артикул	Наименование (Русский)	Старая цена	Цена	На складе	Скрытый	Каталог куда загружать	Каталог куда загружать-2	Продано	Можно купить	Гарантия
NHQ2BEU 02780100B963400	0	0	0	1	539		0	0	12	
45235	Acer SF314-41 NXHFDEU02292902A0E6600	0	0	0	1	539		0	0	12	
45068	Acer SF315-41 NXGV7EU007808000027200	0	0	0	1	539		0	0	12	
44930	Acer Swift sf314 NXGQGEU006837003A87200	0	0	0	1	539		0	0	12	
44495	Acer Veriton N2510G    SN DTVMFME00254204DB83000 	0	0	0	1	539		0	0	12	
37187	Apple 4s 16GB Black MD235ER	0	0	0	1			0	0	12	
37831	Apple 4s 16GB Black MD239KN/A	0	0	0	1			0	0	12	
36503	Apple A1286 MacBook Pro 15W Core i7 2.0GHz/ 4Gb/ 500Gb/AMD Radeon HD6490M 256Mb/ SD/WiFi/BT/ AG Z0LZ0022R	0	0	0	1	556	539	0	0	12	
35458	Apple A1286 MacBook Pro 15W Core i7 2.2GHz/ 4Gb/ 500Gb/ AMD Radeon HD6750M 512Mb/ SD/ WiFi/ Bluetooth (MD318RSA)	0	0	0	1	556	539	0	0	12	
35372	Apple A1286 MacBook Pro 15W Core i7 2.2Hz /4Gb/750Gb/ AMD Radeon HD 6750M 1Gb/SD/AG  Z0M100479	0	0	0	1	556	539	0	0	12	
36508	Apple A1286 MacBook Pro 15W Core i7 2.2Hz /4Gb/SSD 240Gb/ AMD Radeon HD 6750M 1Gb/SD/AG  Z0M100479/Mod	0	0	0	1	556	539	0	0	12	
37674	Apple A1286 MacBook Pro 15W Core i7 2.3GHz/ 4GB/ 750GB/ AMD Radeon HD 6750M 1GB/ SD/AG Z0M1000VX	0	0	0	1	556	539	0	0	12	
34582	Apple A1286 MacBook Pro 15W Core i7 2.3GHz/4GB/750GB/AMD Radeon HD 6750M 1GB/SD/AG Z0M1000VX	0	0	0	1	556	539	0	0	12	
29439	Apple A1289 Mac Pro One 2.66GHz Quad-Core/Intel Xeon/640GB/ 3Gb (MB871RS,A)	0	0	0	1	552	1144	0	0	12	
36092	Apple A1297 MacBook Pro 17W Core i7 2.5GHz/ 4Gb/ 512Gb SSD/ AMD Radeon HD 6770M 1Gb/ SD/ AG  Z0NG00164	0	0	0	1	556	539	0	0	12	
37464	Apple A1297 MacBook Pro 17W Core i7 2.5GHz/ 8Gb/ 750Gb/ AMD Radeon HD 6770M 1Gb/ SD/ AG  Z0NG001YJ	0	0	0	1	556	539	0	0	12	
36134	Apple A1297 MacBook Pro 17W Core i7 2.5GHz/8Gb/512Gb SSD/AMD Radeon HD 6770M 1Gb/SD/AG  Z0NG00164/Mod	0	0	0	1	556	539	0	0	12	
33510	Apple A1311 iMac 21.5 Core i5 2.5GHz QC/ 4Gb/ 500Gb/ ATI Radeon HD6750M 512Mb/ SD/ WiFi / BT/ (MC309RS/A)	0	0	0	1	554	1808	0	0	12	
34392	Apple A1311 iMac 21.5 Core i5 2.7GHz QC /4Gb/ 1Tb/ ATI Radeon HD6770M 512Mb/ SD/ Wi-Fi/ BT (MC812RS/A)	0	0	0	1	554	1808	0	0	12	
33511	Apple A1312 iMac 27 Core i5 2.7GHz QC /4Gb/ 1Tb/ ATI Radeon HD6770M 512Mb/ SD/ Wi-Fi/BT (MC813RS/A)	0	0	0	1	554	1808	0	0	12	
31248	Apple A1312 iMac 27 Core i5 2.8GHz 4GB/1TB/ATI Radeon HD 5750 1GB/SD/Wi-Fi/BT (MC511RS/A)	0	0	0	1	554	1144	0	0	12	
33822	Apple A1312 iMac 27 Core i5 3.1GHz QC/4Gb/1Tb/ATI Radeon HD6970M 1Gb/ SD/Wi-Fi/BT (MC814RS/A)	0	0	0	1	554	1808	0	0	12	
31579	Apple A1312 iMac 27 Core i7 2.93GHz/4GB/1TB/ATI Radeon HD 5750 1GB/SD/Wi-Fi/BT (Z0JP00233)	0	0	0	1	554	1808	0	0	12	
34335	Apple A1312 iMac 27 Core i7 3.4GHz QC/12 GB/2TB+256Gb SSD/ATI Radeon HD6970 2Gb (Z0M700A041)	0	0	0	1	554	1808	0	0	12	
34211	Apple A1312 iMac 27 Core i7 3.4GHz QC/4GB/2TB+256Gb SSD/ATI Radeon HD6970 2Gb (Z0M700A04)	0	0	0	1	554	1808	0	0	12	
36078	Apple A1312 iMac 27 Core i7 3.4GHz/ 16Gb/ 1Tb/ ATI Radeon HD6970 1Gb/SD/Wi-Fi/BT (Z0M7002TY/M)	0	0	0	1	554	1808	0	0	12	
35808	Apple A1312 iMac 27 Core i7 3.4GHz/4Gb/1Tb/ ATI Radeon HD6970 1Gb/SD/Wi-Fi/BT (Z0M7002TY)	0	0	0	1	554	1808	0	0	12	
34387	Apple A1347 Mac mini | Core i5 2.3GHz/ 2Gb/ 500Gb/ Intel HD 3000/BT/Wi-Fi  (MC815RS/A)	0	0	0	1	553		0	0	12	
36200	Apple A1347 Mac mini | Core i5 2.3GHz/ 8Gb/ 500Gb/ Intel HD 3000/BT/Wi-Fi  (MC815RS/A/Mod)	0	0	0	1	553		0	0	12	
34388	Apple A1347 Mac mini | Core i5 2.5GHz/4Gb/500Gb/ AMD Radeon HD6330 256Mb (MC816RS/A)	0	0	0	1	553		0	0	12	
38926	Apple A1347 Mac mini | Dual-Core i5 2.5GHz | 4Gb | 500Gb | Intel HD 4000 | WiFi,BT | MD387UA/A	0	0	0	0	553		0	0	12	
39726	Apple A1347 Mac mini | Quad-Core  i7 2.3GHz | 4Gb | 2*1Tb | Mac OS X Server |  MD389UA/A	0	0	0	1	553		0	0	12	
38927	Apple A1347 Mac mini | Quad-Core i7-3615QM (2.3GHz) | 4Gb | 1Tb | Intel HD 4000 | WiFi,BT | MD388UA/A	0	0	0	0	553		0	0	12	
31644	Apple A1370 MacBook Air 11W Intel Core 2 Duo / 2Gb/128Gb SSD/GF 320M (MC506RS/A)	0	0	0	1	1788	1144	0	0	12	
36017	Apple A1395 iPad 2 Wi-Fi  64Gb (black) MC916RS/A	0	0	0	1	1797	985	0	0	12	
35222	Apple A1395 iPad 2 Wi-Fi 16Gb (black) MC769RS/A	0	0	0	1	1797	1144	0	0	12	
35226	Apple A1395 iPad 2 Wi-Fi 16Gb (white) MC979RS/A	0	0	0	1	1797	1144	0	0	12	
36016	Apple A1395 iPad 2 Wi-Fi 32Gb (black) MC770RS/A	0	0	0	1	1797	985	0	0	12	
36018	Apple A1395 iPad 2 Wi-Fi 32Gb (white) MC980RS/A	0	0	0	1	1797	985	0	0	12	
36019	Apple A1395 iPad 2 Wi-Fi 64Gb (white) MC981RS/A	0	0	0	1	1797	985	0	0	12	
35223	Apple A1396 iPad 2 Wi-Fi 3G 16Gb (black) MC773RS/A	0	0	0	1	1797	985	0	0	12	
35227	Apple A1396 iPad 2 Wi-Fi 3G 16Gb (white) MC982RS/A	0	0	0	1	1797	985	0	0	12	
35224	Apple A1396 iPad 2 Wi-Fi 3G 32Gb (black) MC774RS/A	0	0	0	1	1797	985	0	0	12	
35228	Apple A1396 iPad 2 Wi-Fi 3G 32Gb (white) MC983RS/A	0	0	0	1	1797	985	0	0	12	
35225	Apple A1396 iPad 2 Wi-Fi 3G 64Gb (black) MC775RS/A	0	0	0	1	1797	985	0	0	12	
35229	Apple A1396 iPad 2 Wi-Fi 3G 64Gb (white) MC984RS/A	0	0	0	1	1797	985	0	0	12	
36179	Apple A1396 iPad 2 Wi-Fi 3G 64Gb (white) MC984RS/A	0	0	0	1	1797	985	0	0	12	
37339	Apple A1416 New iPad Wi-Fi 32Gb (black) MC706RS/A	0	0	0	1	1797	985	0	0	12	
37521	Apple A1416 New iPad Wi-Fi 32Gb (white) MD329RS/A	0	0	0	1	1797	985	0	0	12	
38079	Apple A1416 New iPad Wi-Fi 64Gb (black) MC707RS/A	0	0	0	1	1797	985	0	0	12	
38080	Apple A1416 New iPad Wi-Fi 64Gb (white) MD330RS/A	0	0	0	1	1797	985	0	0	12	
37225	Apple A1416 New iPаd Wi-Fi 16Gb (black) MC705RS/A	0	0	0	1	1797	985	0	0	12	
37226	Apple A1416 New iPаd Wi-Fi 16Gb (White) MD328RS/A	0	0	0	1	1797	985	0	0	12	
40054	Apple A1418 iMac 21.5 | Quad Core i7 3.1GHz | 16Gb | 1Tb Fusion | GeForce GT 650M 512Mb | Wi-Fi | BT | Z0MQ002JC	0	0	0	1	554	1808	0	0	12	
39223	Apple A1418 iMac 21.5 | Quad Core-i5 2.7GHz | 8Gb | 1Tb | GeForce GT640M 512Mb | Wi-Fi | BT | MD093UA/A	0	0	0	1	554	1808	0	0	12	
39517	Apple A1418 iMac 21.5 | Quad Core-i5 2.9GHz | 8Gb | 1Tb | GeForce GT650M 512Mb | Wi-Fi, BT | MD094UA/A	0	0	0	1	554	1808	0	0	12	
39553	Apple A1419 iMac 27 | Quad Core i5 2.9GHz | 8Gb | 1Tb | GeForce GTX 660M 512Mb | Wi-Fi, BT | MD095UA/A	0	0	0	1	554	1808	0	0	12	
41556	Apple A1419 iMac 27 | Quad Core i5 3.2GHz | 16Gb | 1Tb Fusion | GeForce GT775M 1Gb | Wi-Fi, BT | Z0PF001AS	0	0	0	1	554	1808	0	0	12	
40510	Apple A1419 iMac 27 | Quad Core i5 3.2GHz | 8Gb | 1Tb | GeForce GTX 675M 1Gb | Wi-Fi | BT | MD096UA/A	0	0	0	1	554	1808	0	0	12	
41576	Apple A1419 iMac 27 | Quad-Core i5 3.2GHz | 8Gb | 1Tb | GeForce GT 755M 1Gb | Wi-Fi, BT | ME088UA/A	0	0	0	0	554	1808	0	0	12	
42294	Apple A1419 iMac 27 | Quad-Core i5 3.4GHz | 8Gb | 1Tb | GeForce GT 775M 2Gb | Wi-Fi, BT | ME089UA/A	0	0	0	0	554	1808	0	0	12	
37818	Apple A1430 New iPad Wi-Fi 4G 16Gb (White) MD369RS/A	0	0	0	1	1797	985	0	0	12	
37227	Apple A1430 New iPаd Wi-Fi 4G 16Gb (Black) MD366RS/A	0	0	0	1	1797	985	0	0	12	
37228	Apple A1430 New iPаd Wi-Fi 4G 32Gb (black) MD367RS/A	0	0	0	1	1797	985	0	0	12	
39473	Apple A1430 New iPаd Wi-Fi 4G 32Gb (black) MD367TY/A	0	0	0	1	1797	985	0	0	12	
37230	Apple A1430 New iPаd Wi-Fi 4G 32Gb (White) MD370RS/A	0	0	0	1	1797	985	0	0	12	
37229	Apple A1430 New iPаd Wi-Fi 4G 64Gb (black) MD368RS/A	0	0	0	1	1797	985	0	0	12	
38128	Apple A1430 New iPаd Wi-Fi 4G 64Gb (White) MD371FD/A	0	0	0	1	1797	985	0	0	12	
37231	Apple A1430 New iPаd Wi-Fi 4G 64Gb (White) MD371RS/A	0	0	0	1	1797	985	0	0	12	
39116	Apple A1432 iPad mini Wi-Fi 16Gb (white & silver) MD531TU/A	0	0	0	0	1795	985	0	0	12	
38984	Apple A1432 iPad mini Wi-Fi 32Gb (black & slate) MD529TU/A	0	0	0	1	1795	985	0	0	12	
39033	Apple A1432 iPad mini Wi-Fi 32Gb (white & silver) MD532TU/A	0	0	0	1	1795	985	0	0	12	
39117	Apple A1432 iPad mini Wi-Fi 64Gb (white & silver) MD533TU/A	0	0	0	1	1795	985	0	0	12	
39218	Apple A1455 iPad mini Wi-Fi 4G 16Gb (black & slate) MD540TU/A	0	0	0	1	1795	985	0	0	12	
40668	Apple A1455 iPad mini Wi-Fi 4G 16Gb (black&slate) MD540	0	0	0	1	1795	985	0	0	12	
40669	Apple A1455 iPad mini Wi-Fi 4G 16Gb (white & silver) MD537	0	0	0	1	1795	985	0	0	12	
39219	Apple A1455 iPad mini Wi-Fi 4G 16Gb (white & silver) MD543TU/A	0	0	0	1	1795	985	0	0	12	
39220	Apple A1455 iPad mini Wi-Fi 4G 32Gb (black & slate) MD541TU/A	0	0	0	1	1795	985	0	0	12	
39221	Apple A1455 iPad mini Wi-Fi 4G 32Gb (white & silver) MD544TU/A	0	0	0	1	1795	985	0	0	12	
40543	Apple A1455 iPad mini Wi-Fi 4G 64Gb (black&slate) MD542	0	0	0	1	1795	985	0	0	12	
39262	Apple A1455 iPad mini Wi-Fi 4G 64Gb (black&slate) MD542TU/A	0	0	0	1	1795	985	0	0	12	
39147	Apple A1455 iPad mini Wi-Fi 4G 64Gb (white & silver) MD545TU/A	0	0	0	1	1795	985	0	0	12	
41305	Apple A1458 iPad with Retina display 16Gb Wi-Fi (White) MD911	0	0	0	1	1797	985	0	0	12	
39507	Apple A1458 iPad with Retina display Wi-Fi 16Gb (White) MD513TU/A	0	0	0	1	1797	985	0	0	12	
39144	Apple A1458 iPad with Retina display Wi-Fi 32Gb (Black) MD511TU/A	0	0	0	1	1797	985	0	0	12	
38976	Apple A1458 iPad with Retina display Wi-Fi 32Gb (white) MD514TU/A	0	0	0	1	1797	985	0	0	12	
39993	Apple A1458 iPad with Retina display Wi-Fi 64Gb (black) MD512TU/A	0	0	0	1	1797	985	0	0	12	
39994	Apple A1458 iPad with Retina display Wi-Fi 64Gb (white) MD515TU/A	0	0	0	1	1797	985	0	0	12	
39885	Apple A1460 iPad with Retina display Wi-Fi 4G 128Gb (black) ME406TU/A	0	0	0	1	1797	985	0	0	12	
39215	Apple A1460 iPad with Retina display Wi-Fi 4G 16Gb (black) MD522TU/A	0	0	0	1	1797	985	0	0	12	
39216	Apple A1460 iPad with Retina display Wi-Fi 4G 16Gb (white) MD525TU/A	0	0	0	1	1797	985	0	0	12	
38925	Apple A1460 iPad with Retina display Wi-Fi 4G 32Gb (black) MD523TU/A	0	0	0	1	1797	985	0	0	12	
38977	Apple A1460 iPad with Retina display Wi-Fi 4G 32Gb (white) MD526TU/A	0	0	0	1	1797	985	0	0	12	
39145	Apple A1460 iPad with Retina display Wi-Fi 4G 64Gb (black) MD524TU/A	0	0	0	1	1797	985	0	0	12	
15724	Apple iMac VESA Mount Adapter Kit (M9755G)	0	0	0	1	1638		0	0	12	
29664	Apple iPad 16GB Wi-Fi (MB292)	0	0	0	1	1797	985	0	0	12	
31151	Apple iPad 16Gb Wi-Fi+3G (MC349FD/A)	0	0	0	1	1797	985	0	0	12	
31095	Apple iPad 2 Camera Connection Kit MC531ZM/A	0	0	0	1	1812	1764	0	0	12	
37220	Apple iPad 3 32Gb Wi-Fi+3G White	0	0	0	1	1797	985	0	0	12	
37067	Apple iPad 3 64Gb Wi-Fi+3G Black	0	0	0	1	1797	985	0	0	12	
37540	Apple iPad 3 64Gb Wi-Fi+4G Black MD368ZP/A	0	0	0	1	1797	985	0	0	12	
30109	Apple iPad 32Gb Wi-Fi (MB293LL/A)	0	0	0	1	1797	985	0	0	12	
29803	Apple iPad 32Gb Wi-Fi (MC293LL/A)	0	0	0	1	1797	985	0	0	12	
31436	Apple iPad 32Gb Wi-Fi+3G (MC496FD)	0	0	0	1	1797	985	0	0	12	
30414	Apple iPad 32Gb Wi-Fi+3G (MC496LL/A)	0	0	0	1	1797	985	0	0	12	
35998	Apple iPad 32Gb Wi-Fi+3G (MC774E/A)	0	0	0	1	1797	985	0	0	12	
30036	Apple iPad 64Gb Wi-Fi (MB294LL/A)	0	0	0	1	1797	985	0	0	12	
33549	Apple iPad 64Gb Wi-Fi (MB294LL/A)	0	0	0	1	1797	985	0	0	12	
33550	Apple iPad 64Gb Wi-Fi (MB294LL/A)	0	0	0	1	1797	985	0	0	12	
33139	Apple iPad 64Gb Wi-Fi+3G (MC497E/A)	0	0	0	1	1797	985	0	0	12	
30984	Apple iPad 64Gb Wi-Fi+3G (MC497FD/A)	0	0	0	1	1797	985	0	0	12	
30354	Apple iPad 64Gb Wi-Fi+3G (MC497LL/A)	0	0	0	1	1797	985	0	0	12	
33551	Apple iPad 64Gb Wi-Fi+3G (MC497LL/A)	0	0	0	1	1797	985	0	0	12	
43817	Apple iPad Air 2 Wi-Fi + 4G 128GB Silver (MH322, MGWM2)	0	0	0	0	1797	985	0	0	12	
43561	Apple iPad Pro 9.7 Wi-Fi + LTE 128GB Gold (MLQ52)	0	0	0	0	1797	985	0	0	12	
33760	Apple iPad_2 16GB Wi-Fi Black (MC769LL/A)	0	0	0	1	1797	985	0	0	12	
33390	Apple iPad_2 16GB Wi-Fi White (MC979LL/A)	0	0	0	1	1797	985	0	0	12	
35906	Apple iPad_2 16GB Wi-Fi White (MC979ZP/A)	0	0	0	1	1797	985	0	0	12	
34437	Apple iPad_2 16GB Wi-Fi+3G Black (MC773)	0	0	0	1	1797	985	0	0	12	
33575	Apple iPad_2 32Gb Wi-Fi White (MC980LL/A)	0	0	0	1	1797	985	0	0	12	
34312	Apple iPad_2 32GB Wi-Fi+3G Black (MC774LL/A)	0	0	0	1	1797	985	0	0	12	
34505	Apple iPad_2 32Gb Wi-Fi+3G White (MC983)	0	0	0	1	1797	985	0	0	12	
33493	Apple iPad_2 64GB Wi-Fi+3G Black (MC775C/A) не исп.	0	0	0	1	1797	985	0	0	12	
34307	Apple iPad_2 64Gb Wi-Fi+3G Black (MC775LL/A) ,	0	0	0	1	1797	1144	0	0	12	
36042	Apple iPad_2 64Gb Wi-Fi+3G Black (MC775ZM/A)	0	0	0	1	1797	985	0	0	12	
33563	Apple iPad_2 64Gb Wi-Fi+3G Black (MC984LL/A)	0	0	0	1	1797	985	0	0	12	
34178	Apple iPad_2 64GB Wi-Fi+3G White  (MC984ZP/A)	0	0	0	1	1797	985	0	0	12	
33098	Apple iPad_2 64Gb Wi-Fi+3G White (MC984FD/A)	0	0	0	1	1797	985	0	0	12	
33921	Apple iPad_2 64Gb Wi-Fi+3G White (MC984LL/A)	0	0	0	1	1797	985	0	0	12	
39841	Apple iPhone 5 16Gb White	0	0	0	1			0	0	12	
40236	Apple iPhone 5 32GB Black	0	0	0	1			0	0	12	
40450	Apple iPhone 5 32Gb White MD300FD/A	0	0	0	1			0	0	12	
41760	Apple iPhone 5S 16GB GOLD (ME307LL/A)	0	0	0	1			0	0	12	
41867	Apple iPhone 5S 16Gb Space Gray  (ME305LL/A)	0	0	0	1			0	0	12	
41887	Apple iPhone 5S 16GB White (ME324LL/A)	0	0	0	1			0	0	12	
41800	Apple iPhone 5S 32GB Gold (ME346LL/A)	0	0	0	1			0	0	12	
41827	Apple iPhone 5S 32GB Space Gray (ME299LL/A)	0	0	0	1			0	0	12	
41759	Apple iPhone 5S 32GB Space Gray (ME308LL/A)	0	0	0	1			0	0	12	
43284	Apple iPhone 6 16Gb MG472KH/A Space Gray 	0	0	0	1			0	0	12	
42673	Apple iPhone 6 64Gb A1549 Space Gray orig	0	0	0	1			0	0	12	
42874	Apple iPhone 6 64Gb MG4H2RM/A  Silver orig	0	0	0	1			0	0	12	
42875	Apple iPhone 6 64Gb MG4H2RM/A  Silver Refurbished (восстановленный)	0	0	0	1			0	0	12	
43285	Apple iPhone 6 64Gb Silver	0	0	0	1			0	0	12	
42862	Apple iPhone 6S  128Gb A1633 Space Gray orig	0	0	0	1			0	0	12	
42929	Apple iPhone 6S  128Gb Gold orig	0	0	0	1			0	0	12	
43329	Apple iPhone 6S+  128Gb Gold	0	0	0	1			0	0	12	
43303	Apple iPhone 6S+  128Gb Space Gray	0	0	0	1			0	0	12	
43547	Apple iPhone 7+  128Gb RoseGold	0	0	0	0			0	0	12	
30122	Apple iPhone Karapace Protective Case (KPIH3G-2108) Brown	0	0	0	1	1638	1144	0	0	12	
15095	Apple iTrip nano - FM Transmitter for iPod nano 1G (GR-9631-NANOTRIP)	0	0	0	1	1759		0	0	12	
27889	Apple Mac mini 1.83GHz Core Duo/512/80/SD(MA608) +20 Apple Cinema Display  (с витрины)	0	0	0	1	553		0	0	12	
31121	Apple Mac mini C2D 2.4GHz/ 2Gb/ 320Gb/ GeForce 320M/SD (MC270)	0	0	0	1	553	1144	0	0	12	
29428	Apple Mac Pro Two 2.26GHz Quad-Core/Intel Xeon/640GB/6Gb (MB535RSA)	0	0	0	1	552		0	0	12	
32533	Apple Mac Pro Two 2.40GHz Quad-Core Intel Xeon /6GB/ (MC561RS/A)	0	0	0	1	552		0	0	12	
33592	Apple MacBook Air 11W C2D 1.4GHz/2Gb/128Gb SSD/GF 320M (MC506RS/A) //O!	0	0	0	1	1788	1821	0	0	12	
31643	Apple MacBook Air 11W C2D 1.4GHz/2GB/64GB SSD/GF 320M (MC505RS/A)	0	0	0	1	1788	1821	0	0	12	
32789	Apple MacBook Air 11W C2D 1.4GHz/4Gb/128Gb SSD/GF 320M (Z0JK000PW)	0	0	0	1	1788	1821	0	0	12	
29745	Apple MacBook Pro 13 C2D 2.4GHz/ 4GB/250GB/GF320M/SD/WiFi/Bluetooth (MC374RS/A)	0	0	0	1	556	539	0	0	12	
32985	Apple MacBook Pro 13 Core i5 2.3GHz/ 4Gb/ 320Gb/ Intel HD 3000/ (MC700RS/A)	0	0	0	1	556	539	0	0	12	
36198	Apple MacBook Pro 13 Core i5 2.3GHz/ 8Gb /320Gb/ Intel HD 3000/ (MC700RS/A/Mod)	0	0	0	1	556	539	0	0	12	
32986	Apple MacBook Pro 13 Core i7 2.7GHz/4GB/500GB/Intel HD 3000 (MC724RS/A)	0	0	0	1	556	539	0	0	12	
32931	Apple MacBook Pro 15 Core i7 2.2GHz/4Gb/ 750Gb/ AMD Radeon HD 6750M 1Gb/SD/WiFi/BT (MC723RS/A)	0	0	0	1	556	539	0	0	12	
35124	Apple MacBook Pro 15 Core i7 2.2GHz/4Gb/SSD 240Gb/AMD Radeon HD 6750M 1Gb/SD/WiFi/BT (MC723RS/AM)	0	0	0	1	556	539	0	0	12	
34959	Apple MacBook Pro 15 Core i7 2.2GHz/8Gb/750Gb/AMD Radeon HD 6750M 1GB/SD/WiFi/BT (MC723RS/AB)	0	0	0	1	556	539	0	0	12	
32930	Apple MacBook Pro 15W Core i7 2.0GHz/ 4Gb/500Gb/ ATI Radeon HD6490M 256Mb /SD/WiFi/BT (MC721RS/A)	0	0	0	1	556	539	0	0	12	
27558	Apple MacBook Pro 17 C2D 2.8GHz/ 4GB/500GB/GF9600M GT 512Mb (MC226RSA)	0	0	0	1	556	539	0	0	12	
29174	Apple MacBook Pro 17 C2D 2.8GHz/4GB/500GB/GF9600M GT 512Mb (MC226LLA)	0	0	0	1	556	539	0	0	12	
29868	Apple MacBook Pro 17 Core  i7 2.66GHz/ 4GB/500GB/ GT 300M 512Mb (Z0GP00140)	0	0	0	1	556	539	0	0	12	
